dates,royalties,spotify_m_listeners,spotify_followers,youtube_subscribers,youtube_views,instagram_likes
8/24/2018,1163.704,1510151,89345,17500,17424694,0
8/25/2018,1075.552,1510151,89880,17500,17424694,0
8/26/2018,1056.124,1510151,90432,17500,17424694,0
8/27/2018,1110.36,1510151,90975,17500,17424694,0
8/28/2018,1170.516,1510151,91559,17500,17424694,0
8/29/2018,1194.86,1510151,92188,17500,17424694,0
8/30/2018,1230.5,1510151,92851,17500,17424694,0
8/31/2018,1269.072,1510151,93577,17500,17424694,0
9/1/2018,1164.984,1510151,94192,17500,17424694,0
9/2/2018,1118.32,1510151,94749,17500,17424694,0
9/3/2018,1151.732,1510151,95380,17500,17424694,0
9/4/2018,1184.472,1510151,96070,17500,17424694,0
9/5/2018,1218.1,1510151,96822,17500,17424694,0
9/6/2018,1266.288,1510151,97618,17500,17424694,0
9/7/2018,1306.224,1510151,98410,17500,17424694,0
9/8/2018,1196.592,1510151,99296,17500,17424694,0
9/9/2018,1132.844,1510151,100177,17500,17424694,0
9/10/2018,1225.344,1510151,100988,17500,17424694,0
9/11/2018,1241.8,1510151,101781,17500,17424694,0
9/12/2018,1304.884,1510151,102396,17500,17424694,0
9/13/2018,1328.84,1510151,103031,17500,17424694,0
9/14/2018,1446.144,1510151,103642,17500,17424694,0
9/15/2018,1317.604,1510151,104263,17500,17424694,0
9/16/2018,1202.54,1510151,104750,17500,17424694,0
9/17/2018,1313.412,1510151,105237,17500,17424694,0
9/18/2018,1369.564,1510151,105805,17500,17424694,0
9/19/2018,1416.184,1510151,106452,17500,17424694,0
9/20/2018,1465.212,1510151,107116,17500,17424694,0
9/21/2018,1566.46,1510151,107724,17500,17424694,0
9/22/2018,1399.14,1510151,108430,17500,17424694,0
9/23/2018,1285.48,1510151,109062,17500,17424694,0
9/24/2018,1413.416,1510151,109622,17500,17424694,0
9/25/2018,1468.12,1510151,110189,17500,17424694,0
9/26/2018,1503.308,1510151,110792,17500,17424694,0
9/27/2018,1460.24,1510151,111351,17500,17424694,0
9/28/2018,1483.352,1510151,112008,17500,17424694,0
9/29/2018,1331.62,1510151,112661,17500,17424694,0
9/30/2018,1221.16,1510151,113278,17500,17424694,0
10/1/2018,1356.196,1510151,113840,17500,17424694,0
10/2/2018,1411.42,1510151,114417,17500,17424694,0
10/3/2018,1454.296,1510151,115033,17500,17424694,0
10/4/2018,1505.948,1510151,115620,17500,17424694,0
10/5/2018,1512.592,1510151,116245,17500,17424694,0
10/6/2018,1330.944,1510151,116835,17500,17424694,0
10/7/2018,1219.876,1510151,117401,17500,17424694,0
10/8/2018,1310.028,1510151,117988,17500,17424694,0
10/9/2018,1394.532,1510151,118596,17500,17424694,0
10/10/2018,1359.812,1510151,119137,17500,17424694,0
10/11/2018,1424.252,1510151,119708,17500,17424694,0
10/12/2018,1454.424,1510151,120381,17500,17424694,0
10/13/2018,1316.712,1510151,121019,17500,17424694,0
10/14/2018,1228.292,1510151,121616,17500,17424694,0
10/15/2018,1338.844,1510151,122151,17500,17424694,0
10/16/2018,1379.74,1510151,122724,17500,17424694,0
10/17/2018,1458.22,1510151,123398,17500,17424694,0
10/18/2018,1457.368,1510151,124066,17500,17424694,0
10/19/2018,1527.572,1510151,124787,17500,17424694,0
10/20/2018,1395.568,1510151,125495,17500,17424694,0
10/21/2018,1285.504,1510151,126215,17500,17424694,0
10/22/2018,1436.612,1510151,126855,17500,17424694,0
10/23/2018,1498.04,1510151,127538,17500,17424694,0
10/24/2018,1520.388,1510151,128234,17500,17424694,0
10/25/2018,1556.164,1510151,128921,17500,17424694,0
10/26/2018,1622.976,1510151,129640,17500,17424694,0
10/27/2018,1437.388,1510151,130379,17500,17424694,0
10/28/2018,1334.208,1510151,131056,17500,17424694,0
10/29/2018,1504.252,1510151,131643,17500,17424694,0
10/30/2018,1546.336,1510151,132330,17500,17424694,0
10/31/2018,1531.66,1510151,133034,17500,17424694,0
11/1/2018,1505.024,1510151,133737,17500,17424694,0
11/2/2018,1611.372,1510151,134591,17500,17424694,0
11/3/2018,1518.744,1510151,135457,17500,17424694,0
11/4/2018,1396.92,1510151,136230,17500,17424694,0
11/5/2018,1522.864,1510151,136858,17500,17424694,0
11/6/2018,1542.124,1510151,137489,17500,17424694,0
11/7/2018,1630.336,1510151,138185,17500,17424694,0
11/8/2018,1662.652,1510151,138892,17500,17424694,0
11/9/2018,1747.996,1510151,139748,17500,17424694,0
11/10/2018,1591.024,1510151,140481,17500,17424694,0
11/11/2018,1463.2,1510151,141164,17500,17424694,0
11/12/2018,1551.232,1510151,141803,17500,17424694,0
11/13/2018,1593.4,1510151,142588,17500,17424694,0
11/14/2018,1636.776,1510151,143516,17500,17424694,0
11/15/2018,1682.536,1510151,144422,17500,17424694,0
11/16/2018,1762.064,1510151,145461,17500,17424694,0
11/17/2018,1674.424,1510151,146479,17500,17424694,0
11/18/2018,1537.268,1510151,147442,17500,17424694,0
11/19/2018,1644.748,1510151,148360,17500,17424694,0
11/20/2018,1714.016,1510151,149266,17500,17424694,0
11/21/2018,1724.192,1510151,150172,17500,17424694,0
11/22/2018,1618.212,1510151,151081,17500,17424694,0
11/23/2018,1624.7,1510151,151959,17500,17424694,0
11/24/2018,1580.676,1510151,152930,17500,17424694,0
11/25/2018,1508.572,1510151,153842,17500,17424694,0
11/26/2018,1639.284,1510151,154740,17500,17424694,0
11/27/2018,1692.428,1510151,155698,17500,17424694,0
11/28/2018,1714.248,1510151,156778,17500,17424694,0
11/29/2018,1742.592,1510151,157755,17500,17424694,0
11/30/2018,1825.94,1510151,158844,17500,17424694,0
12/1/2018,1671.136,1510151,159902,17500,17424694,0
12/2/2018,1540.716,1510151,160877,17500,17424694,0
12/3/2018,1623.336,1510151,161749,17500,17424694,0
12/4/2018,1700.432,1510151,162625,17500,17424694,0
12/5/2018,1703.988,1510151,163442,17500,17424694,0
12/6/2018,1724.48,1510151,164492,17500,17424694,0
12/7/2018,1747.056,1510151,165791,17500,17424694,0
12/8/2018,1615.452,1510151,166864,17500,17424694,0
12/9/2018,1485.98,1510151,167951,17500,17424694,0
12/10/2018,1595.308,1510151,168942,17500,17424694,0
12/11/2018,1694.516,1510151,169869,17500,17424694,0
12/12/2018,1698.24,1510151,170839,17500,17424694,0
12/13/2018,1736.432,1510151,171800,17500,17424694,0
12/14/2018,1780.572,1510151,172738,17500,17424694,0
12/15/2018,1656.976,1510151,173752,17500,17424694,0
12/16/2018,1538.668,1510151,174710,17500,17424694,0
12/17/2018,1651.568,1510151,175650,17500,17424694,0
12/18/2018,1677.624,1510151,176578,17500,17424694,0
12/19/2018,1675.448,1510151,177469,17500,17424694,0
12/20/2018,1708.14,1510151,178431,17500,17424694,0
12/21/2018,1724.704,1510151,179515,17500,17424694,0
12/22/2018,1640.784,1510151,180501,17500,17424694,0
12/23/2018,1528.044,1510151,181454,17500,17424694,0
12/24/2018,1502.024,1510151,182474,17500,17424694,0
12/25/2018,1388.14,1510151,184495,17500,17424694,0
12/26/2018,1480.38,1510151,185909,17500,17424694,0
12/27/2018,1514.732,1510151,187057,17500,17424694,0
12/28/2018,1483.372,1510151,188093,17500,17424694,0
12/29/2018,1470.716,1510151,189076,17500,17424694,0
12/30/2018,1408.412,1510151,190056,17500,17424694,0
12/31/2018,1476.852,1510151,190888,17500,17424694,0
1/1/2019,1376.376,1510151,191668,17500,17424694,0
1/2/2019,1455.644,1510151,192595,17500,17424694,0
1/3/2019,1514.328,1510151,193531,17500,17424694,0
1/4/2019,1556.864,1510151,194472,17500,17424694,0
1/5/2019,1531.64,1510151,195398,17500,17424694,0
1/6/2019,1449.256,1510151,196335,17500,17424694,0
1/7/2019,1576.104,1510151,197276,17500,17424694,0
1/8/2019,1618.584,1510151,198251,17500,17424694,0
1/9/2019,1685.028,1510151,199254,17500,17424694,0
1/10/2019,1762.32,1510151,200185,17500,17424694,0
1/11/2019,1872.624,1510151,201212,17500,17424694,0
1/12/2019,1705.04,1510151,202268,17500,17424694,0
1/13/2019,1589.036,1510151,203186,17500,17424694,0
1/14/2019,1726.076,1510151,204087,17500,17424694,0
1/15/2019,1804.364,1510151,204993,17500,17424694,0
1/16/2019,1795.48,1510151,205928,17500,17424694,0
1/17/2019,1819.02,1510151,206888,17500,17424694,0
1/18/2019,1889.272,1510151,207861,17500,17424694,0
1/19/2019,1726.232,1510151,208965,17500,17424694,0
1/20/2019,1590.016,1510151,209970,17500,17424694,0
1/21/2019,1622.036,1510151,210870,17500,17424694,0
1/22/2019,1649.588,1510151,211771,17500,17424694,0
1/23/2019,1673.46,1510151,212856,17500,17424694,0
1/24/2019,1716.824,1510151,213841,17500,17424694,0
1/25/2019,1786.048,1510151,214811,17500,17424694,0
1/26/2019,1693.088,1510151,215802,17500,17424694,0
1/27/2019,1565.968,1510151,216686,17500,17424694,0
1/28/2019,1631.772,1510151,217520,17500,17424694,0
