dates,royalties,spotify_m_listeners,spotify_followers,youtube_subscribers,youtube_views,instagram_followers,twitter_followers
6/14/2018,3.752,8332,8820,1122,2360,9053,1590
6/15/2018,3.612,8393,8820,1119,2379,9049,1591
6/16/2018,3.096,8191,8818,1120,2395,9048,1593
6/17/2018,2.132,8021,8818,1121,2411,9047,1593
6/18/2018,3.964,7697,8817,1120,2420,9039,1594
6/19/2018,3.76,7627,8816,1119,2429,9030,1595
6/20/2018,3.752,7556,8814,1119,2441,9024,1595
6/21/2018,3.168,7659,8814,1118,2453,9021,1594
6/22/2018,3.12,7762,8814,1092,2461,9021,1595
6/23/2018,3.188,7933,8814,1066,2469,9019,1595
6/24/2018,2.532,8005,8812,1066,2475,9017,1596
6/25/2018,2.744,8076,8810,1066,2480,9016,1597
6/26/2018,2.58,8283,8810,898,2491,9014,1597
6/27/2018,2.384,8490,8810,729,2501,9012,1593
6/28/2018,1.848,8605,8810,562,2513,9013,1594
6/29/2018,1.68,8720,8810,395,2525,9005,1594
6/30/2018,2.84,8835,8810,303,2531,9002,1595
7/1/2018,2.564,9065,8820,211,2537,9022,1596
7/2/2018,2.544,9065,8809,212,2549,9032,1595
7/3/2018,1.848,9178,8807,212,2560,9038,1595
7/4/2018,1.44,9291,8804,177,2568,9032,1595
7/5/2018,1.576,9248,8807,142,2575,9035,1594
7/6/2018,1.488,9110,8808,141,2584,9024,1594
7/7/2018,1.856,8986,8815,140,2592,9021,1595
7/8/2018,1.212,8910,8807,140,2599,9027,1593
7/9/2018,1.772,8834,8799,140,2605,9024,1593
7/10/2018,1.788,8788,8806,140,2626,9027,1593
7/11/2018,1.676,8741,8813,139,2646,9029,1594
7/12/2018,1.856,8514,8807,139,2662,9030,1595
7/13/2018,1.88,8288,8802,139,2677,9031,1596
7/14/2018,1.504,8061,8796,138,2691,9032,1597
7/15/2018,0.98,21087,8794,138,2704,9033,1597
7/16/2018,1.264,34114,8792,137,2718,9037,1596
7/17/2018,1.568,47140,8790,136,2731,9029,1596
7/18/2018,1.88,60167,8788,134,2741,9034,1595
7/19/2018,2.076,73193,8786,131,2751,9027,1595
7/20/2018,2.132,6219,8785,131,2762,9019,1597
7/21/2018,2.092,5957,8785,130,2773,9017,1596
7/22/2018,1.6,5696,8784,130,2779,9016,1597
7/23/2018,1.272,5434,8784,130,2785,9026,1598
7/24/2018,1.472,5214,8785,130,2792,9025,1599
7/25/2018,1.428,4994,8785,130,2798,9016,1599
7/26/2018,1.46,4934,8784,130,2809,9017,1599
7/27/2018,6.412,4875,8784,130,2819,9011,1599
7/28/2018,9.436,4815,8783,130,2837,9013,1599
7/29/2018,9.148,4570,8784,130,2854,9012,1598
7/30/2018,4.392,4328,8784,131,2879,9011,1597
7/31/2018,1.388,4066,8782,131,2904,9014,1597
8/1/2018,1.228,4018,8782,131,2912,9015,1597
8/2/2018,1.348,4018,8782,129,2925,9009,1597
8/3/2018,1.276,4013,8781,126,2938,9013,1597
8/4/2018,1.212,4013,8782,126,2949,9016,1597
8/5/2018,0.896,4013,8781,126,2959,9014,1597
8/6/2018,2.088,4013,8780,126,2967,9012,1598
8/7/2018,1.924,4006,8779,126,2974,9010,1598
8/8/2018,2.052,4252,8777,126,2980,9009,1598
8/9/2018,1.756,4285,8777,126,2985,9009,1600
8/10/2018,1.792,4285,8777,126,2995,9017,1601
8/11/2018,1.588,4285,8777,126,3005,9024,1601
8/12/2018,1.144,4367,8778,126,3015,9046,1601
8/13/2018,1.28,4367,8778,126,3024,9043,1602
8/14/2018,1.208,4505,8778,126,3028,9043,1604
8/15/2018,1.288,4642,8778,126,3031,9048,1600
8/16/2018,2.44,4780,8778,126,3041,9046,1553
8/17/2018,14.18,4917,8777,126,3051,9043,1553
8/18/2018,20.136,5055,8777,126,3066,9040,1553
8/19/2018,18.48,5192,8777,126,3080,9037,1553
8/20/2018,26.564,5330,8777,126,3090,9036,1553
8/21/2018,5.804,5362,8777,126,3100,9038,1553
8/22/2018,1.568,5394,8777,126,3109,9041,1553
8/23/2018,1.196,5427,8776,126,3118,9043,1552
8/24/2018,1.288,5459,8776,126,3129,9045,1552
8/25/2018,1.084,5491,8776,125,3139,9048,1552
8/26/2018,0.956,5440,8776,126,3149,9050,1552
8/27/2018,1.188,5388,8776,126,3159,9050,1552
8/28/2018,1.08,5337,8775,126,3163,9054,1552
8/29/2018,1.072,5285,8775,126,3167,9056,1552
8/30/2018,1.156,5285,8775,126,3184,9057,1551
8/31/2018,1.264,5245,8774,126,3201,9059,1553
9/1/2018,1.136,5206,8774,126,3212,9060,1553
9/2/2018,1.036,5166,8773,126,3232,9060,1553
9/3/2018,1.148,5126,8773,126,3251,9059,1551
9/4/2018,1.12,5087,8772,124,3266,9059,1550
9/5/2018,1.168,5047,8771,122,3281,9058,1550
9/6/2018,0.964,5007,8771,123,3304,9057,1550
9/7/2018,1.056,4967,8770,123,3326,9055,1550
9/8/2018,1.08,4928,8770,123,3336,9054,1549
9/9/2018,0.768,4888,8769,122,3346,9053,1439
9/10/2018,0.92,4888,8769,122,3360,9052,1438
9/11/2018,1.188,4848,8770,122,3374,9046,1437
9/12/2018,1.076,4808,8770,122,3386,9040,1437
9/13/2018,1.036,4692,8770,122,3397,9038,1436
9/14/2018,1.072,4576,8769,122,3406,9036,1436
9/15/2018,0.876,4459,8769,122,3414,9039,1435
9/16/2018,0.808,4343,8768,122,3423,9041,1435
9/17/2018,1.052,4227,8768,122,3432,9040,1435
9/18/2018,0.848,4111,8767,122,3442,9039,1434
9/19/2018,0.836,3995,8767,122,3451,9034,1434
9/20/2018,0.936,3878,8766,122,3466,9028,1434
9/21/2018,0.948,3762,8766,122,3481,9035,1434
9/22/2018,0.936,3646,8765,122,3488,9033,1434
9/23/2018,0.62,3530,8765,122,3494,9031,1434
9/24/2018,0.8,3413,8764,123,3502,9031,1434
9/25/2018,0.708,3297,8764,123,3510,9040,1435
9/26/2018,0.756,3181,8763,123,3516,9040,1436
9/27/2018,0.828,3143,8763,122,3522,9039,1436
9/28/2018,0.772,3105,8763,122,3531,9038,1437
9/29/2018,0.872,3067,8763,122,3540,9037,1435
9/30/2018,0.58,3028,8762,122,3547,9036,1435
10/1/2018,0.696,2990,8762,122,3553,9035,1435
10/2/2018,0.848,2952,8762,122,3561,9033,1437
10/3/2018,0.736,2932,8762,122,3569,9032,1438
10/4/2018,0.828,2911,8763,122,3577,9031,1439
10/5/2018,0.868,2891,8763,122,3584,9030,1441
10/6/2018,0.86,2870,8763,122,3592,9029,1442
10/7/2018,0.68,2850,8763,122,3599,9031,1443
10/8/2018,0.812,2829,8764,122,3603,9034,1443
10/9/2018,0.808,2809,8764,122,3607,9036,1443
10/10/2018,1,2788,8764,122,3614,9038,1443
10/11/2018,1.068,2765,8761,122,3620,9041,1446
10/12/2018,0.892,2753,8761,122,3627,9043,1445
10/13/2018,0.768,2746,8761,122,3633,9046,1444
10/14/2018,0.592,2723,8760,122,3635,9048,1445
10/15/2018,0.776,2723,8759,122,3636,9050,1445
10/16/2018,0.836,2723,8758,122,3640,9053,1445
10/17/2018,0.732,2672,8758,122,3643,9055,1445
10/18/2018,0.808,2663,8757,122,3647,9052,1446
10/19/2018,0.92,2664,8757,122,3650,9056,1446
10/20/2018,0.7,2645,8756,122,3656,9060,1446
10/21/2018,0.568,2645,8756,122,3661,9056,1446
10/22/2018,0.844,2645,8755,122,3667,9056,1446
10/23/2018,0.844,2645,8755,122,3673,9058,1446
10/24/2018,0.832,2645,8753,122,3681,9059,1446
10/25/2018,0.82,2621,8753,122,3688,9050,1446
10/26/2018,0.884,2621,8751,122,3698,9051,1446
10/27/2018,0.852,2621,8752,121,3707,9052,1446
10/28/2018,0.776,2621,8752,121,3714,9052,1446
10/29/2018,0.704,2629,8751,121,3721,9050,1445
10/30/2018,0.852,2634,8749,121,3725,9050,1447
10/31/2018,0.756,2634,8749,121,3729,9050,1447
11/1/2018,0.752,2634,8749,121,3734,9055,1448
11/2/2018,0.836,2634,8748,121,3739,9055,1448
11/3/2018,0.672,2625,8747,121,3743,9055,1449
11/4/2018,0.668,2616,8747,121,3748,9054,1449
11/5/2018,0.74,2607,8746,121,3752,9054,1450
11/6/2018,0.868,2598,8746,121,3757,9054,1448
11/7/2018,0.864,2589,8745,121,3761,9053,1448
11/8/2018,0.732,2589,8743,121,3765,9051,1448
11/9/2018,0.888,2616,8743,121,3769,9056,1447
11/10/2018,0.752,2617,8743,121,3775,9061,1437
11/11/2018,0.676,2610,8744,121,3780,9066,1436
11/12/2018,0.608,2610,8744,121,3787,9067,1436
11/13/2018,0.788,2627,8744,121,3794,9068,1435
11/14/2018,0.752,2644,8743,121,3803,9069,1435
