author_id;id;text;edit_history_tweet_ids;created_at;lang
1663392012446625795;1710126983781487075;@RitaOra Vibing so loud neighbors call in a nuisance level violation;['1710126983781487075'];2023-10-06 02:57:00;en
73907082;1710099528701878586;@RitaOra proud;['1710099528701878586'];2023-10-06 01:07:54;en
1370791741884874753;1710091308411269452;"@RitaOra has 11 years worth of music under her belt, plus multiple acting roles, never ending global TV show appearances and hosting gigs, her own tequila and activewear brand, an all seasons fashion collaboration with Primark … who’s taking notes? Watch &amp; learn, more to come 👏🏻";['1710091308411269452'];2023-10-06 00:35:14;en
27406310;1710073883007816107;@RitaOra ur smashing it Rita ❤️;['1710073883007816107'];2023-10-05 23:26:00;en
32930680;1710056124194447456;@RitaOra Love you superstar 🥰;['1710056124194447456'];2023-10-05 22:15:25;en
842866203286786048;1710056004841283997;@RitaOra You’re amazing 🫶🏻;['1710056004841283997'];2023-10-05 22:14:57;en
1545074075713806337;1710048538141286672;@RitaOra We are so proud!!!! Lessgoo for the #14th single;['1710048538141286672'];2023-10-05 21:45:17;en
1674796023045300225;1710047547375398919;@RitaOra 🔥 Indeed;['1710047547375398919'];2023-10-05 21:41:21;en
1356921175100846080;1710029218417959228;@RitaOra Always here for you! Even if I'm inactive here sometimes just know that you're always in my mind and heart, and i love you and proud of you every day!;['1710029218417959228'];2023-10-05 20:28:31;en
1134959647;1710020769986535797;@RitaOra i adore you 🥲🫶🏻;['1710020769986535797'];2023-10-05 19:54:56;en
3644356457;1710017530641703352;@RitaOra We need a tour..;['1710017530641703352'];2023-10-05 19:42:04;en
1122857401051381760;1710011623954415936;@RitaOra Forever proud of you ❤️;['1710011623954415936'];2023-10-05 19:18:36;en
832610083934703618;1710011572993601549;@RitaOra please tour soooon we miss u;['1710011572993601549'];2023-10-05 19:18:24;en
1398309737033261064;1710011347038044546;@RitaOra so proud of youuu;['1710011347038044546'];2023-10-05 19:17:30;en
1398309737033261064;1710011290331062508;@RitaOra still my fav songgg🥰🥰;['1710011290331062508'];2023-10-05 19:17:16;en
943976400;1710010633477931221;@RitaOra deserved! so proud 🥹;['1710010633477931221'];2023-10-05 19:14:40;en
1223823003135418368;1710009992793723088;@RitaOra @RitaOra your well come;['1710009992793723088'];2023-10-05 19:12:07;en
1195437021633896449;1710009393188680087;@RitaOra can’t believe it’s been 5 years 🥹 love u forever!!! 💕;['1710009393188680087'];2023-10-05 19:09:44;en
1223823003135418368;1710009216117682619;@RitaOra @RitaOra i’m so very proud of you when you dedicate all your hard work and your music to your fans;['1710009216117682619'];2023-10-05 19:09:02;en
1223823003135418368;1710008841872572553;@RitaOra @RitaOra wow terrific awesome Band day;['1710008841872572553'];2023-10-05 19:07:32;en
1464686782570811400;1710008747953696818;@RitaOra Rita, we love you, you deserve it because you are talented.. you are an inspiring and kind woman.🔥👌❤️🤍💚😊😘;['1710008747953696818'];2023-10-05 19:07:10;en
964841137906356224;1710008358600675627;"@RitaOra always proud of you!! see you in november &lt;333";['1710008358600675627'];2023-10-05 19:05:37;en
1384598053252907011;1710008270583198063;@RitaOra love you rita😘😘💅🏿💅🏿💅🏿 ritabots 🤖🤣💅🏿💅🏿🩷;['1710008270583198063'];2023-10-05 19:05:16;en
425756826;1710007492074192982;@RitaOra you deserve this and much more 🧡;['1710007492074192982'];2023-10-05 19:02:11;en
22194779;1710007458469408982;@RitaOra Tour next year?;['1710007458469408982'];2023-10-05 19:02:03;en
832610083934703618;1710007344745029807;@RitaOra i love u so much. we are so proud;['1710007344745029807'];2023-10-05 19:01:36;en
832610083934703618;1710007301120110753;@RitaOra mega proud of you, we got u always;['1710007301120110753'];2023-10-05 19:01:25;en
8610302;1710006474070761767;@RitaOra Deserve every bit of it. Looking forward to more great songs from you. ❤️;['1710006474070761767'];2023-10-05 18:58:08;en
